Impactcategory,Unit,"ACSA)MA&MMABMM AC16VS;AC11VS;AC8VS;AC5VTM SMA11S;SMA8S;SMA8TM;SMA5TM SMA5N;SMA8N BBTM11A;BBTM8A,(RUGOVIA)"
,,VIASAF5
