Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
Hazardous waste disposed,kg,0.54,0.00178,0.0202,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.00178,0.0202,0.0184,-0.366
Non- hazardous waste,kg,1.2,0.106,0.181,0.0,0.0432,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.319,0.0071,-0.405
pasodsip Radioactive waste,kg,0.000709,6.06e-07,2.14e-05,0.0,2.59e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.07e-07,1.17e-06,7.22e-08,-0.000675
disposed Components forre-use,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Material for recycling,kg,0.236,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.679,0.968
Materials for energy,kg,0.0844,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0
recovery Exported energy.,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59
electricity Exported energy. thermal,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449
