Waste type,,"DESSOGrezzo,DESSOGrezzoBloomandDESSOGrezzoVivid"
Non-hazardouswasteto incinerationinthe cement industry[kg/m²],,0.229
Non-hazardouswastewater toexternal treatment[kg/m²],,0.0263
