,,"CLSRck40S4XC2D25CEMIV/A42,5R-SRCAM",,,,
B6,B7,C1,C2,C3,C4,D
0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00
0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,1.87 E+03,0.00 E+00,0.00 E+00
0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00
0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00
0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00,0.00 E+00
