Acronyms,"HWD:Hazardouswastedisposed,NHWD:Non-hazardouswastedisposed,RWD:Radioactivewastedisposed,CRU:Componentsforreuse,MFR:Materialforrecycling,MER:Materials",,
ClimateImpact,,,,,,,,,,,,
Indicator *GHG-GWP,"Unit kg CO, eq",A1-A3 1.06E+01,A4 6.65E-01,A5 4.62E+00,B1 0.00E+00,B2 1.05E+00,B3-B7 0.00E+00,C1 O.00E+00,C2 2.49E-01,C3 0.00E+00,C4 4.41E-01,-7.53E-01
