Componenti dei prodotti,Peso (kg),materiale post-consumer (%),materiale biogenico (%)
"CEM IV/A (V) 42,5 R - SR/IAS",340,0,０
ACQUA,177,0,0
SABBIA,1125,０,0
GRANIGLIA 1,302,０,０
GRANIGLIA 2,"390,5",0,0
ADDITIVO superfluidificante,"2,9",０,0
TOTAL,2337,0,0
