Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,Resultsperfunctionalordeclared unit-(End of Life->Recycling) B4,B5,B6,B7,C1,C2,C3,C4,D
Hazardous waste disposed,kg,0.6,0.00178,0.0221,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.00178,0.0202,0.0193,-0.403
Non- hazardous waste,kg,1.61,0.106,0.192,0.0,0.0432,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.319,0.00743,-0.371
disposed Radioactive waste disposed,kg,0.000176,6.06e-07,5.46e-06,0.0,2.59e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.07e-07,1.17e-06,7.55e-08,-0.000754
Components forre-use,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Material for recycling,kg,0.367,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.773,0.253
Materials for energy,kg,0.0834,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339,0.0
recovery Exported energy.,MJ,2.26,0.0,0.0679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99
electricity Exported energy. thermal,MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463
