Plant,EcoinventModule,KgCO2eq/kWh
Clervaux,"Electricity, medium voltage {LU}] market for electricity, medium voltage | Cut-off, U",3.97E-01
Sedan,"Electricity, medium voltage {FR}] market for Cut-off, U",7.93E-02
