,id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
73,1818433461749555203,1818433461711671296,Resins,10.0,,,吴宇森,
74,1818433461749555204,1818433461711671296,Pigments/Colorant,54.0,,,吴宇森,
75,1818433461749555205,1818433461711671296,Weight,100.0,,,吴宇森,
76,1818433919352315904,1818433919310237696,Aluminium,34.0,g,,吴宇森,
77,1818433919352315905,1818433919310237696,Stainless steel,199.8,g,,吴宇森,
78,1818433919352315906,1818433919310237696,Steel,293.2,g,,吴宇森,
79,1818433919352315907,1818433919310237696,Polyamide,1.0,g,,吴宇森,
80,1818433919352315908,1818433919310237696,Polyoxymethyle,2.3,g,,吴宇森,
81,1818433919352315909,1818433919310237696,Other metal,10.6,g,,吴宇森,
82,1818433919352315910,1818433919310237696,Zinc alloy,334.2,g,,吴宇森,
83,1818433919352315911,1818433919310237696,Total weight (g),875.1,g,,吴宇森,
84,1818433919352315912,1818433919310237696,Wood,25.0,g,,吴宇森,
85,1818433919352315913,1818433919310237696,Cardboard,31.6,g,,吴宇森,
86,1818433919352315914,1818433919310237696,Plastic,11.6,g,,吴宇森,
87,1818433919352315915,1818433919310237696,TOTAL (g),68.2,g,,吴宇森,
88,1818434078035419136,1818434077984952320,Aluminium,197.8,g,,吴宇森,
89,1818434078035419137,1818434077984952320,Stainless steel,153.1,g,,吴宇森,
90,1818434078035419138,1818434077984952320,Steel,0.0,g,,吴宇森,
91,1818434078035419139,1818434077984952320,Polyamide,7.0,g,,吴宇森,
92,1818434078035419140,1818434077984952320,Polypropylene,2.7,g,,吴宇森,
93,1818434078035419141,1818434077984952320,Polyoxymethylene,1.9,g,,吴宇森,
94,1818434078035419142,1818434077984952320,Zinc alloy,10.2,g,,吴宇森,
95,1818434078035419143,1818434077984952320,Total weight (g),372.7,g,,吴宇森,
96,1818434078035419144,1818434077984952320,Wood,16.7,g,,吴宇森,
97,1818434078035419145,1818434077984952320,Plastic,6.0,g,,吴宇森,
98,1818434078035419146,1818434077984952320,Cardboard,50.7,g,,吴宇森,
