,id,factor_id,uuid,value,ghg_type,boundary,formula,description
45,1818424194099187717,1818424194057244672,59e33e07-e33e-4f13-bb45-399efd3e53b2,1148300.0,Total,C1-C4,,
46,1818424194099187718,1818424194057244672,59e33e07-e33e-4f13-bb45-399efd3e53b2,-15500.0,CO2,D,,
47,1818424194099187719,1818424194057244672,59e33e07-e33e-4f13-bb45-399efd3e53b2,-15500.0,Total,D,,
48,1818424409032101888,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,10.4,CO2,A1-A3,,
49,1818424409032101889,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,10.4,Total,A1-A3,,
50,1818424409032101890,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,5.665,CO2,A4-A5,,
51,1818424409032101891,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,5.665,Total,A4-A5,,
52,1818424409032101892,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,0.518,CO2,B1-B7,,
53,1818424409032101893,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,0.518,Total,B1-B7,,
54,1818424409032101894,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,0.543,CO2,C1-C4,,
55,1818424409032101895,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,0.543,Total,C1-C4,,
56,1818424409032101896,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,-0.591,CO2,D,,
57,1818424409032101897,1818424409006936064,45c27937-acfe-43ee-874c-007cdb8b3fff,-0.591,Total,D,,
58,1818424524182523904,1818424524111220736,0e73ceda-788e-4109-bab8-09eb1011abec,8090000.0,CO2,A1-A3,,
59,1818424524182523905,1818424524111220736,0e73ceda-788e-4109-bab8-09eb1011abec,8090000.0,Total,A1-A3,,
60,1818424524182523906,1818424524111220736,0e73ceda-788e-4109-bab8-09eb1011abec,359000.0,CO2,A4-A5,,
61,1818424524182523907,1818424524111220736,0e73ceda-788e-4109-bab8-09eb1011abec,359000.0,Total,A4-A5,,
62,1818424524182523908,1818424524111220736,0e73ceda-788e-4109-bab8-09eb1011abec,55609.99999999999,CO2,C1-C4,,
63,1818424524182523909,1818424524111220736,0e73ceda-788e-4109-bab8-09eb1011abec,55609.99999999999,Total,C1-C4,,
64,1818424524182523910,1818424524111220736,0e73ceda-788e-4109-bab8-09eb1011abec,-4680000.0,CO2,D,,
65,1818424524182523911,1818424524111220736,0e73ceda-788e-4109-bab8-09eb1011abec,-4680000.0,Total,D,,
66,1818424887044345856,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,13.9,CO2,A1-A3,,
67,1818424887044345857,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,13.9,Total,A1-A3,,
68,1818424887044345858,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,6.7299999999999995,CO2,A4-A5,,
69,1818424887044345859,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,6.7299999999999995,Total,A4-A5,,
70,1818424887044345860,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,0.518,CO2,B1-B7,,
71,1818424887044345861,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,0.518,Total,B1-B7,,
72,1818424887044345862,1818424887006597120,4b3d7150-e147-41d8-b873-b8ef383993d3,0.8220000000000001,CO2,C1-C4,,
