Impact Category,Unit,A1-A3,A4,A5,B1,B2,B3-B7,C1,C2,C3,C4,D
HWD,kg,2.16e-07,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.00E+00,0.0
NHWD,kg,3.1e-07,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.00E+00,0.0
RWD,kg,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.00E+00,0.0
CRU,kg,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.00E+00,0.0
MFR,kg,0.0,0.0,0.0,0.0,0.0OE+00,0.0,0.0,0.0,0.0,0.0OE+00,0.0
MER,kg,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.00E+00,0.0
EE (Electrical),MJ,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.00E+00,0.0
EE (Thermal),MJ,0.0,0.0,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.00E+00,0.0
