"CLS Rck35 S4 XC2 D25 CEM IV/A 42,5 R-SR CAM"
Indicatore,Unita di misura,Valori
Potenzialediriscaldamentoglobale (GWP-total)perimoduliA1-A2-A3,kg CO2 eq.,"2,50E+02"
"ContenutototaledimaterialeRiciclato (somma diriciclato,recuperatoe sottoprodotto)",%,"6,17"
