,,Resultsper tonneofPolyethyleneWood-LikeFoamBoard,,,,,,,,,,,,,
Unit,A1- A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
kgCO2 eq.,2.68E +03,2.41E +02,1.34E +02,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,4.13E +01,6.09E +02,5.19E +01,7.17E +00
