Raw Material Supply,Transport,Transport,Use,Maintenance,Replacement,Refurbishment,,Deconstruction / Demolition,,,"energy recovery potentials Future reuse, recycling or"
,,Manufacturing,,Construction Installation,,Repair,,Operational Energy Use,Operational Water Use,Transport,Waste Processing,Disposal
Module,A1,A2 A3,A4,A5 B1,B2,B3,B4 B5,B6,B7,C1 C2,C3,C4 D
Modules Declared,x,x x,x x,x,x,x x,x,x,x x,x,x x,x
Geography,GLO GLO,TR,GLO,GLO GLO,GLO,GLO,GLO GLO,GLO,GLO GLO,GLO,GLO,GLO GLO
Specific Data Used Variation-,,>90%,,,,,,,,,,
Products,,10%,,,,,,,,,,
Variation - Sites,,0%,,,,,,,,,,
