id,property_name,property_symbol,property_unit,description,data_entry_by
1818433919356510214,,Zinc alloy,g,,吴宇森
1818433919356510215,,Total weight (g),g,,吴宇森
1818433919356510216,,Wood,g,,吴宇森
1818433919356510217,,Cardboard,g,,吴宇森
1818433919356510218,,Plastic,g,,吴宇森
1818433919356510219,,TOTAL (g),g,,吴宇森
1818434078043807748,,Polypropylene,g,,吴宇森
1818434078043807749,,Polyoxymethylene,g,,吴宇森
1818434387994484736,,Water_base,kg,,吴宇森
1818434387994484737,,Additives,kg,,吴宇森
1818434387994484738,,Wood,kg,,吴宇森
1818434387994484739,,Plastic,kg,,吴宇森
1818434387994484740,,Labels,kg,,吴宇森
1818434708254760960,,RUBBER,Weight-%,,吴宇森
1818434708254760961,,MICROFILTERED,Weight-%,,吴宇森
1818434708254760962,,MINERAL FILLER,Weight-%,,吴宇森
1818434708254760963,,PLASTICIZER,Weight-%,,吴宇森
1818434708254760964,,ADITIVES,Weight-%,,吴宇森
1818434708254760965,,TOTAL (Product components),"Weight, kg",,吴宇森
1818434708254760966,,LDPE,Weight-%,,吴宇森
1818434708254760967,,HDPE,"Weight, kg",,吴宇森
1818434708254760968,,WOOD,Weight-%,,吴宇森
1818434708254760969,,CARDBOARD AND,Weight-%,,吴宇森
1818434708254760970,,TOTAL (Packaging materials),Weight-%,,吴宇森
1818435976373215237,,Other metalalloys,g,,吴宇森
1818435976373215239,,Total weight(g),g,,吴宇森
1818437254994206720,,Metals,kg,,吴宇森
1818437254994206722,,Plastics,kg,,吴宇森
1818437254994206723,,Electrical material,kg,,吴宇森
1818437254994206724,,Paint for wood,kg,,吴宇森
1818437254994206725,,Weight,kg,,吴宇森
1818437254994206726,,Cardboard,kg,,吴宇森
1818437502638497792,,Glass_yarn,%,,吴宇森
1818437502638497794,,Coating,%,,吴宇森
1818437502638497796,,HDPE_bag,kg/m²,,吴宇森
1818437502638497797,,HDPE_bag,%,,吴宇森
1818437502638497798,,HDPE_film,kg/m²,,吴宇森
1818437502638497799,,HDPE_film,%,,吴宇森
1818437502638497800,,Wooden_pallet,kg/m²,,吴宇森
1818437502638497801,,Wooden_pallet,%,,吴宇森
1818437502638497802,,Cardboard,kg/m²,,吴宇森
1818437502638497803,,Cardboard,%,,吴宇森
1818437502638497804,,Nylon_belt,kg/m²,,吴宇森
1818437502638497805,,Nylon_belt,%,,吴宇森
1818437816410185728,,Aggregates,%,,吴宇森
1818437816410185729,,Conventional bitumen,%,,吴宇森
1818437816410185730,,Modified bitumen,%,,吴宇森
1818438118886612992,,%Weight_Aggregates,%,,吴宇森
1818438118886612993,,%Weight_Modified_bitumen,%,,吴宇森
1818438118886612994,,%Weight_Others,%,,吴宇森
1818438632198119424,,PPS,kg,,吴宇森
1818438632198119425,,"PA6,6 reinforced with glass-fiber",kg,,吴宇森
1818438632198119426,,EPDM,kg,,吴宇森
1818438632198119428,,LDPE,kg,,吴宇森
1818438632198119429,,Corrugated board,kg,,吴宇森
