id,factor_id,property_name,property_value,unit,description,data_entry_by,formula
1818426521401171971,1818426521367482368,Stabilizer_CaZn,0.017,kg/m²,,吴宇森,
1818426521401171972,1818426521367482368,Pigments,0.015,kg/m²,,吴宇森,
1818426521401171973,1818426521367482368,Surface_Treatment,0.03,kg/m²,,吴宇森,
1818426521401171974,1818426521367482368,Flame_Retardent,6.87,kg/m²,,吴宇森,
1818426521401171975,1818426521367482368,Calendered_Underlay,1.01,kg/m²,,吴宇森,
1818426521401171976,1818426521367482368,Weight,2.4,kg/m²,,吴宇森,
1818426521401171977,1818426521367482368,Product_Packaging_Cardboard,0.0443,kg/m²,,吴宇森,
1818426521401171978,1818426521367482368,Product_Packaging_Paper_(Foil),0.116,kg/m²,,吴宇森,
1818426521401171979,1818426521367482368,Product_Packaging_PP_(Disc),0.0101,kg/m²,,吴宇森,
1818426521401171980,1818426521367482368,TOTAL_Packaging,0.17,kg/m²,,吴宇森,
1818428491579006976,1818428491549511680,Polymers_Weight,25.0,%,,吴宇森,
1818428491579006977,1818428491549511680,Polymers_Weight,70.0,%,,吴宇森,
1818428491579006978,1818428491549511680,Fillers_Weight,15.0,%,,吴宇森,
1818428491579006979,1818428491549511680,Fillers_Weight,30.0,%,,吴宇森,
1818428491579006980,1818428491549511680,Resins_Weight,10.0,%,,吴宇森,
1818428491579006981,1818428491549511680,Resins_Weight,30.0,%,,吴宇森,
1818428491579006982,1818428491549511680,Pigments_Weight,0.05,%,,吴宇森,
1818428491579006983,1818428491549511680,Pigments_Weight,0.2,%,,吴宇森,
1818428491579006984,1818428491549511680,Additives_Weight,0.05,%,,吴宇森,
1818428491579006985,1818428491549511680,Additives_Weight,0.1,%,,吴宇森,
1818428491579006986,1818428491549511680,Fibreboard_Weight,0.0033,kg,,吴宇森,
1818428491579006987,1818428491549511680,Fibreboard_Weight,0.33,%,,吴宇森,
1818428491579006988,1818428491549511680,Fibreboard_Biogenic_Carbon,0.0017,kg C/kg,,吴宇森,
1818428491579006989,1818428491549511680,Plastic_Weight,3e-05,kg,,吴宇森,
1818428491579006990,1818428491549511680,Plastic_Weight,0.0025,%,,吴宇森,
1818428491579006991,1818428491549511680,Metal_Weight,0.0803,kg,,吴宇森,
1818428660856922112,1818428660831621120,Post-consumer material,0.0,weight-%,,吴宇森,
