"CLS Rck40 S4 XC2 D25 CEM IV/A 42,5 R - SR CAM"
Indicatore,Unitadimisura,Valori
Potenzialediriscaldamentoglobale,kg CO2 eq.,"2,77E+02"
"(GWP-total)perimoduliA1-A2-A3 ContenutototaledimaterialeRiciclato (sommadiriciclato,recuperatoesottoprodotto)",%,"6,88"
