Componenti dei prodotti,Peso (kg),materiale post-consumer (%),materiale biogenico (%)
"CEM IV/A (V) 42,5 R - SR/IAS",380,0,０
ACQUA,177,0,0
SABBIA,1066,０,0
GRANIGLIA 1,296,０,０
GRANIGLIA2,417,0,0
ADDITIVO superfluidificante,"3,2",０,0
TOTAL,2339,0,0
