Product stage,Construction process stage,Use stage,sn,End of life stage,,Resource recovery stage ecycling-
I supply a nateri,,installation nstruction i,tenance,Refurbishment eplacement,I demolition use energy water De-construction berational,processing,Rec -Recovery-F
m Raw R,factur tods Tanufa rans W A3,tods Transp Cons A5,Tainte W B2,epair e e R R B3 B4,perational P R 0 B6,a E D C1,Vaste W 咖 C3,isposal se- a u eus e pote R D
Module A1 Modules x,A2 x x,A4 x x,B1 x,x x,B5 x x x,B7 x x,C2 x x,C4 x
declared Geography EU,EU EU,EU EU,,EU,,,EU EU,x EU
Specific data used 20%,50% 100%,100% 100%,,,,,,EU
Variation - products,,,,15% - 23%,,,,,
Variation- sites,22%,European average for Tarkett,,,,,,,
