Plant,EcoinventModule,KgCO2eq/kWh
Clervaux,"Electricity,r medium voltage {LU}] market for electricity, r medium voltage | Cut-off, U",3.97E-01
Sedan,"Electricity, medium voltage {FR}I market for |Cut-off, U",7.93E-02
