id,factor_id,uuid,value,ghg_type,boundary,formula,description
1830471529109000201,1830471529092222976,82809b34-287b-4cf4-baf9-584c92e72fa3,,Total,D,,
1830471624139345920,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,CO2,A1-A3,,
1830471624139345921,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,Total,A1-A3,,
1830471624139345922,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,CO2,A4-A5,,
1830471624139345923,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,Total,A4-A5,,
1830471624139345924,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,CO2,B1-B7,,
1830471624139345925,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,Total,B1-B7,,
1830471624139345926,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,CO2,C1-C4,,
1830471624139345927,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,Total,C1-C4,,
1830471624139345928,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,CO2,D,,
1830471624139345929,1830471624118374400,5615b9de-44c0-45b9-9a95-a784738aaefa,,Total,D,,
1830471683669102592,1830471683656519680,19ca3238-fc72-4b17-9a52-fa7a35056e39,5.95,CO2,A1-A3,,
1830471683669102593,1830471683656519680,19ca3238-fc72-4b17-9a52-fa7a35056e39,5.95,Total,A1-A3,,
1830471683669102594,1830471683656519680,19ca3238-fc72-4b17-9a52-fa7a35056e39,1.872,CO2,A4-A5,,
1830471683669102595,1830471683656519680,19ca3238-fc72-4b17-9a52-fa7a35056e39,1.872,Total,A4-A5,,
1830471683669102596,1830471683656519680,19ca3238-fc72-4b17-9a52-fa7a35056e39,0.0947,CO2,B1-B7,,
1830471683669102597,1830471683656519680,19ca3238-fc72-4b17-9a52-fa7a35056e39,0.0947,Total,B1-B7,,
1830471702044348416,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,17.8,CO2,A1-A3,,
1830471702044348417,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,17.8,Total,A1-A3,,
1830471702044348418,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,8.07,CO2,A4-A5,,
1830471702044348419,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,8.07,Total,A4-A5,,
1830471702044348420,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,0.518,CO2,B1-B7,,
1830471702044348421,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,0.518,Total,B1-B7,,
1830471702044348422,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,0.8220000000000001,CO2,C1-C4,,
1830471702044348423,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,0.8220000000000001,Total,C1-C4,,
1830471702044348424,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,-0.489,CO2,D,,
1830471702044348425,1830471702031765504,8f6e4d41-947a-4f2b-89d9-a5cde6e1bd05,-0.489,Total,D,,
1830471765294452736,1830471765273481216,fe4c6b86-2bc7-43f6-8816-c800198f9761,6.12,CO2,A1-A3,,
1830471765294452737,1830471765273481216,fe4c6b86-2bc7-43f6-8816-c800198f9761,6.12,Total,A1-A3,,
