Product components,Weight [%],"Post-consumer material, weight-%","Renewable material, weight-%"
Non-woven (PET/PP),4,0,0
Yarn PA6*,15,0,0
SBR-compound,6,0,0
Aluminium trihydrate,14,0,0
Primary chalk,4,0,0
Glass scrim,1,0,0
EcoBase (w. recycled chalk)**,56,0,9
Packaging materials,"Weight, kg",Weight-% (versus the product)
Cardboard box,1.09E-01,3
Wooden pallet,1.00E-01,2
