Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
Hazardous waste disposed,kg,5.45E-01,1.78E-03,2.03E-02,0.00E+00,3.20E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E-03,2.02E-02,1.80E-02,-3.68E-01
Non- hazardous waste,kg,1.36E+00,1.06E-01,1.81E-01,0.00E+00,4.32E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E-01,3.19E-01,6.95E-03,-4.17E-01
disposed Radioactive waste,kg,1.15E-04,6.06E-07,3.61E-06,0.00E+00,2.59E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.07E-07,1.17E-06,7.06E-08,-6.33E-04
disposed Components for re-use,kg,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Material for recycling,kg,2.07E-01,0.00E+00,1.06E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.88E+00,6.93E-01,2.12E-01
Materials for energy recovery,kg,8.37E-02,0.00E+00,1.20E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.17E-01,0.00E+00
"Exported energy, electricity",MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.0OE+00,0.0OE+00,0.0OE+00,0.00E+00,3.37E+00
Exported energy. thermal,MJ,0.00E+00,0.00E+00,0.0OE+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.23E-01
