Product stage,,process stage,,Use stage,,,End of life stage,,recovery stage
,,,Construction installation,,,Refurbishment,Operational water use,,Waste processing,Reuse-Recovery-Recycling-
,material supply Transport,[Manufacturing,,,Maintenance Repair,Replacement,Operational energy use,[De-construction demolition,Transport,Disposal,potential
Module,Raw I A1 A2,A3,Transport A4 A5,S B1,B2,R B3 B4,R B5 B6,B7,C1 C2,C3 C4,D
Modules declared,x x,x,x x,x,x,x x,x x,x x,x,x x,x
Geography,CN CN,CN,CN to GLO GLO,GLO,GLO,GLO GLO,GLO GLO,GLO,GLO GLO,GLO GLO,GLO
Specific data used Variation-,11.10%,,,,,,,,,,
products,0%,,,,,,,,,,
Variation - sites,0%,,,,,,,,,,
