Componenti dei prodotti,Peso (kg),materiale post-consumer (%),materiale biogenico (%)
"CEM IV/A (V) 42,5 R-SR/IAS",358,0,0
ACQUA,177,0,0
SABBIA,1156,０,0
GRANIGLIA,622,0,0
ADDITIVO superfluidificante,3,０,０
TOTAL,2316,0,0
