"CLS Rck37 S4 XC3 D25 CEM IV 42,5 R SR CAM"
Indicatore,Unitadimisura,Valori
Potenzialediriscaldamentoglobale (GWP-total)perimoduliA1-A2-A3,kg CO2 eq.,"2,69E+02"
"ContenutototaledimaterialeRiciclato (sommadiriciclato,recuperatoe sottoprodotto)",%,"5,55"
