Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
Hazardous waste disposed,kg,0.545,0.00178,2.03E-02,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.00E+00,1.78E-03,2.02E-02,0.018,-0.368
Non- hazardous waste,kg,1.36,0.106,1.81E-01,0.0,0.0432,0.0,0.0,0.0,0.0,0.0,0.00E+00,1.06E-01,3.19E-01,0.00695,-0.417
disposed Radioactive waste,kg,0.000115,6.06e-07,3.61E-06,0.0,2.59e-05,0.0,0.0,0.0,0.0,0.0,0.00E+00,6.07E-07,1.17E-06,7.06e-08,-0.000633
disposed Components for re-use,kg,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.00E+00,0.00E+00,0.0,0.0
Material for recycling,kg,0.207,0.0,1.06E-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.00E+00,2.88E+00,0.693,0.212
Materials for energy recovery,kg,0.0837,0.0,1.20E-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.00E+00,0.00E+00,0.317,0.0
"Exported energy, electricity",MJ,0.0,0.0,0.00E+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0OE+00,0.0OE+00,0.0OE+00,0.0,3.37
Exported energy. thermal,MJ,0.0,0.0,0.0OE+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00E+00,0.00E+00,0.00E+00,0.0,0.423
