Product components,Weight [%],"Post-consumer material, weight-%","Renewable material, weight-%"
Fuse,Fields
Non-woven (PET/PP),3,,0,0
YarnPA6(100%recycled)*,18,,50,0
SBR-compound,6,,0,0
Aluminium trihydrate,15,,0,0
Primary chalk,4,,0,0
Glass scrim,,,0,0
EcoBase (w. recycled chalk)**,53,,0,9
Packaging materials,"Weight, kg",Weight-% (versus the product)
Cardboard box,1.09E-01,
Woodenpallet,1.00E-01,3 2
