Asphaltgroupname,Mixturetypesinthegroup,Temperature class,Bindertypes,Specification/ Standard
ACP(ACbase),AC32PS;AC22PS;AC16PS;AC32PN; AC22PN;AC16PN;AC32PL;AC22PL; AC16PL,HMA,35/50;50/70;70/100,EN13108-1
ACP(ACbase)withRA,AC32PS;AC22PS;AC16PS;AC32PN; AC22PN;AC16PN;AC32PL;AC22PL; AC16PL,HMA,35/50;50/70;70/100,EN13108-1
AC16PD(ACbase-surf),AC16PD,HMA,70/100;100/150,EN13108-1
AC16PD(ACbase-surf) with RA,AC16PD,HMA,70/100;100/150,EN13108-1
