Raw Material Supply,Transport,Transport.1,Use,Maintenance,Replacement,Refurbishment,,Deconstruction / Demolition,,,"energy recovery potentials Future reuse, recycling or"
,Manufacturing,,Construction Installation,,Repair,,Operational Energy Use,Operational Water Use,Transport,Waste Processing,Disposal
A1,A2 A3,A4,A5 B1,B2,B3,B4 B5,B6,B7,C1 C2,C3,C4 D
x,x x,x x,x,x,x x,x,x,x x,x,x x,x
GLO GLO,TR,GLO,GLO GLO,GLO,GLO,GLO GLO,GLO,GLO GLO,GLO,GLO,GLO GLO
,>90%,,,,,,,,,,
,10%,,,,,,,,,,
,0%,,,,,,,,,,
