Indicator,Unit,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
Hazardous waste disposed,kg,5.40E-01,1.78E-03,2.02E-02,0.00E+00,3.20E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E-03,2.02E-02,1.84E-02,-3.66E-01
Non- hazardous waste,kg,1.20E+00,1.06E-01,1.81E-01,0.00E+00,4.32E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E-01,3.19E-01,7.10E-03,-4.05E-01
pasodsip Radioactive waste,kg,7.09E-04,6.06E-07,2.14E-05,0.00E+00,2.59E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.07E-07,1.17E-06,7.22E-08,-6.75E-04
disposed Components forre-use,kg,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Material for recycling,kg,2.36E-01,0.00E+00,1.07E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.12E+00,6.79E-01,9.68E-01
Materials for energy,kg,8.44E-02,0.00E+00,1.27E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.24E-01,0.00E+00
recovery Exported energy.,MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.59E+00
electricity Exported energy. thermal,MJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.49E-01
