Resultsper functional or declared unit
BIOGENICCARBONCONTENT,Unit,"QUANTITY DESSOGrezzo,DESSOGrezzoBloomandDESSOGrezzoVivid"
Biogeniccarboncontentinproduct,kg C,1.84E-03
Biogeniccarboncontentinpackaging,kg C,1.09E-03
