Plant,EcoinventModule,KgCO2eq/kWh
Clervaux,"Electricity,r medium voltage {LU}] market for electricity, r medium voltage | Cut-off, U",0.397
Sedan,"Electricity, medium voltage {FR}I market for |Cut-off, U",0.0793
