Plant,EcoinventModule,KgCO2eq/kWh
Clervaux,"Electricity, medium voltage {LU}] market for electricity, medium voltage | Cut-off, U",0.397
Sedan,"Electricity, medium voltage {FR}] market for Cut-off, U",0.0793
