Tapiflex Platinium 100
"Biogenic material, weight-% and kg C/kg"
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
0%
2%
"Weight biogenic carbon, kg C/kg"
0.0205
""
""
0.0205
